"id","equipo_vhf_id","canal","tipo","created_at"
481,481,CPPL,Standby,2026-01-08 16:27:18.069
482,482,CAUX,Main,2026-01-08 16:27:18.777
483,483,CAUX,Standby,2026-01-08 16:27:19.482
484,484,EMERG,Main,2026-01-08 16:27:20.306
485,485,EMERG,Standby,2026-01-08 16:27:21.030
486,486,ITA 1,Main,2026-01-08 16:27:22.155
487,487,ITA 1,Standby,2026-01-08 16:27:22.868
488,488,ITA 2,Main,2026-01-08 16:27:23.685
489,489,ITA 2,Standby,2026-01-08 16:27:24.503
490,490,PSP 1,Main,2026-01-08 16:27:25.530
491,491,PSP 1,Standby,2026-01-08 16:27:26.446
492,492,PSP 2,Main,2026-01-08 16:27:27.170
493,493,PSP 2,Standby,2026-01-08 16:27:27.982
494,494,CPPL,Main,2026-01-08 16:27:29.214
495,495,CPPL,Standby,2026-01-08 16:27:29.860
